References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell	LCSC
R31	1	R31	Vishay	CRGCQ0805J1K5	TE Connectivity	CRCW08051K50FKEAC	TE Connectivity	CRG0805F1K5	TE Connectivity	CRGCQ0805F1K5		CRGCQ0805J1K5	A129751CT-ND	71CRCW08051K50FKEAC	2230449		2861524	
R32, R33, R36, R41	4	R32, R33, R36, R41	Vishay	MCWR08X49R9FTL	Multicomp	CRCW080549R9FKEA	Yageo	MCWR08X49R9FTL		RC0805FR-0749R9L			311-49.9CRDKR-ND	603RC0805FR0749R9L	6791462		2447669	
R34, R35, R37, R39, R40, R42, R45, R46, R48	9	R34, R35, R37, R39, R40, R42, R45, R46, R48	Vishay	RC0805FR-072K2L	Yageo	CRCW08052K20FKEA		RC0805FR-072K2L					311-2.20KCRDKR-ND	603RC0805FR072K2L	6791207		2459315	
R43, R44	2	R43, R44	TE Connectivity	WCR0805-220RFI	Yageo	CRG0805F220R	Stackpole Electronics	RC0805FR-13220RL	Welwyn	RMCF0805FT220R		WCR0805-220RFI	RMCF0805FT220RCT-ND	603RC0805FR13220RL	2230332P		1099795	
R47	1	R47	Bourns	CRCW08054K87FKEA	Vishay	CR0805-FX-4871ELF	Yageo	CRCW08054K87FKEA		RC0805FR-074K87L			311-4.87KCRDKR-ND	603RC0805FR074K87L	6791490		1469925	
R5, R9	2	R5, R9	TE Connectivity	WCR0805-1K0FI	Yageo	CRG0805F1K0	Welwyn	RC0805FR-071KL		WCR0805-1K0FI			311-1.00KCRDKR-ND	603RC0805FR071KL	2230427		2148706	
RN1, RN2, RN3, RN4	4	RN1, RN2, RN3, RN4	Bourns	CAY16-330J4LF		CAY16-330J4LF							CAY16-330J4LFDKR-ND	652CAY16330J4LF	5225670		1770128	
SP1	1	SP1																
SW1	1	SW1	Bourns	PEC16-2215F-S0024									PEC16-2215F-S0024-ND	652PEC162215FS0024				
SW2	1	SW2	E-Switch	TL1100CF160Q		TL1100CF160Q							EG1822-ND	612TL1100C			2830627	
SW3	1	SW3	Panasonic	EVQP7A01P		EVQ-P7A01P							P16763CT-ND	667EVQP7A01P	1789272		2860916	
X1	1	X1	Samtec	SSW-120-02-T-D-RA	Samtec	SSW-120-02-F-D-RA		SSW-120-02-T-D-RA					SAM11958-ND	200SSW12002TDRA	1557770		2984467	
X2	1	X2	On Shore Technology	MC-254-16-00-ST-DIP	Würth Elektronik	302-S161	Multicomp	61201621621		MC-254-16-00-ST-DIP			ED10523-ND	71061201621621	7718357		1642020	
X3	1	X3	Würth Elektronik	CTB932HD/5	Camden Boss	691322110005		CTB932HD/5					732-2772-ND	710691322110005	8246642		1841318	
X5	1	X5												NonStocked, Call for Quote				
Y1	1	Y1	Abracon	LFXTAL033342	IQD Frequency Products	ABLS-25.000MHZ-B4-F-T	IQD Frequency Products	LFXTAL010595	IQD Frequency Products	LFXTAL033342		LFXTAL056463REEL	535-10235-1-ND	815ABLS25.0MFT	1710490		2449397	
Y2	1	Y2	IQD Frequency Products	XTAL016178-85SMX	IQD Frequency Products	LFXTAL016178 830016178	IQD Frequency Products	LFXTAL016178REEL		XTAL016178- 85SMX			1923-1021-6-ND	449LFXTAL016178REEL	1484350		1652572	
ZD1	1	ZD1	Diodes Inc.	BZX384-B30	Nexperia	BZT52C30S-7-F	Nexperia	BZX384-B30		BZX384-B30,115			1727-3649-6-ND	771BZX384B30115	7513720P		2575164	
